Dimensions,Blocks,Threads,Time,Speedup,[CUDA memcpy DtoH] Time,[CUDA memcpy DtoH] Avg,[CUDA memcpy DtoH] Min,[CUDA memcpy DtoH] Max,[CUDA memcpy HtoD] Time,[CUDA memcpy HtoD] Avg,[CUDA memcpy HtoD] Min,[CUDA memcpy HtoD] Max,cudaMemcpy Time,cudaMemcpy Avg,cudaMemcpy Min,cudaMemcpy Max,cudaMalloc Time,cudaMalloc Avg,cudaMalloc Min,cudaMalloc Max,cudaFree Time,cudaFree Avg,cudaFree Min,cudaFree Max,Device Name,Compute Capability,Total Global Memory,Shared Memory per Block,Registers per Block,Warp Size,Maximum Threads per Block,Thread Dimension Z,Thread Dimension Y,Thread Dimension X,Grid Size Z,Grid Size Y,Grid Size X,Clock Rate,Total Constant Memory,Multiprocessor Count,integrated,Asynchronous Engine Count,Memory Bus Width,Memory Clock Rate,L2 Cache Size,Maximum Threads per Multiprocessor,Concurrent Kernels,float,unsigned_int,int,num_blocks,num_grid,threads,cudaMalloc,cudaMemcpy,cudaFree,+,for,-,*,/
256,128,1,0.06,1.0,0.001240410730242729,0.001240410730242729,0.001240410730242729,0.001240410730242729,0.0012035242468118668,0.0004011747390031815,0.0003445830047130585,0.00043980804085731506,0.0024570900052785873,0.000614272490143776,0.00034861740469932555,0.0012464491426944732,0.002403236016631126,0.000801078662276268,7.893234491348267e-06,0.002387222170829773,0.0006882104426622391,0.00022940348088741302,2.323707938194275e-05,0.0003336485624313354,NVIDIA GeForce GTX TITAN Black,3.5,6229696.0,49152.0,65536.0,32.0,1024.0,1024.0,1024.0,64.0,65535.0,65535.0,2147483647.0,980000.0,65536.0,15.0,0.0,1.0,384.0,3500000.0,1572864.0,2048.0,1.0,29,0,18,0,0,0,3,8,3,0,0,0,0,0
256,64,2,0.07,1.1666666666666667,0.001240410730242729,0.001240410730242729,0.001240410730242729,0.001240410730242729,0.0012035242468118668,0.0004011747390031815,0.0003445830047130585,0.00043980804085731506,0.0024570900052785873,0.000614272490143776,0.00034861740469932555,0.0012464491426944732,0.002403236016631126,0.000801078662276268,7.893234491348267e-06,0.002387222170829773,0.0006882104426622391,0.00022940348088741302,2.323707938194275e-05,0.0003336485624313354,NVIDIA GeForce GTX TITAN Black,3.5,6229696.0,49152.0,65536.0,32.0,1024.0,1024.0,1024.0,64.0,65535.0,65535.0,2147483647.0,980000.0,65536.0,15.0,0.0,1.0,384.0,3500000.0,1572864.0,2048.0,1.0,29,0,18,0,0,0,3,8,3,0,0,0,0,0
256,32,3,0.06,1.0,0.001240410730242729,0.001240410730242729,0.001240410730242729,0.001240410730242729,0.0012035242468118668,0.0004011747390031815,0.0003445830047130585,0.00043980804085731506,0.0024570900052785873,0.000614272490143776,0.00034861740469932555,0.0012464491426944732,0.002403236016631126,0.000801078662276268,7.893234491348267e-06,0.002387222170829773,0.0006882104426622391,0.00022940348088741302,2.323707938194275e-05,0.0003336485624313354,NVIDIA GeForce GTX TITAN Black,3.5,6229696.0,49152.0,65536.0,32.0,1024.0,1024.0,1024.0,64.0,65535.0,65535.0,2147483647.0,980000.0,65536.0,15.0,0.0,1.0,384.0,3500000.0,1572864.0,2048.0,1.0,29,0,18,0,0,0,3,8,3,0,0,0,0,0
256,16,4,0.07,1.1666666666666667,0.001240410730242729,0.001240410730242729,0.001240410730242729,0.001240410730242729,0.0012035242468118668,0.0004011747390031815,0.0003445830047130585,0.00043980804085731506,0.0024570900052785873,0.000614272490143776,0.00034861740469932555,0.0012464491426944732,0.002403236016631126,0.000801078662276268,7.893234491348267e-06,0.002387222170829773,0.0006882104426622391,0.00022940348088741302,2.323707938194275e-05,0.0003336485624313354,NVIDIA GeForce GTX TITAN Black,3.5,6229696.0,49152.0,65536.0,32.0,1024.0,1024.0,1024.0,64.0,65535.0,65535.0,2147483647.0,980000.0,65536.0,15.0,0.0,1.0,384.0,3500000.0,1572864.0,2048.0,1.0,29,0,18,0,0,0,3,8,3,0,0,0,0,0
256,8,5,0.07,1.1666666666666667,0.001240410730242729,0.001240410730242729,0.001240410730242729,0.001240410730242729,0.0012035242468118668,0.0004011747390031815,0.0003445830047130585,0.00043980804085731506,0.0024570900052785873,0.000614272490143776,0.00034861740469932555,0.0012464491426944732,0.002403236016631126,0.000801078662276268,7.893234491348267e-06,0.002387222170829773,0.0006882104426622391,0.00022940348088741302,2.323707938194275e-05,0.0003336485624313354,NVIDIA GeForce GTX TITAN Black,3.5,6229696.0,49152.0,65536.0,32.0,1024.0,1024.0,1024.0,64.0,65535.0,65535.0,2147483647.0,980000.0,65536.0,15.0,0.0,1.0,384.0,3500000.0,1572864.0,2048.0,1.0,29,0,18,0,0,0,3,8,3,0,0,0,0,0
256,4,6,0.07,1.1666666666666667,0.001240410730242729,0.001240410730242729,0.001240410730242729,0.001240410730242729,0.0012035242468118668,0.0004011747390031815,0.0003445830047130585,0.00043980804085731506,0.0024570900052785873,0.000614272490143776,0.00034861740469932555,0.0012464491426944732,0.002403236016631126,0.000801078662276268,7.893234491348267e-06,0.002387222170829773,0.0006882104426622391,0.00022940348088741302,2.323707938194275e-05,0.0003336485624313354,NVIDIA GeForce GTX TITAN Black,3.5,6229696.0,49152.0,65536.0,32.0,1024.0,1024.0,1024.0,64.0,65535.0,65535.0,2147483647.0,980000.0,65536.0,15.0,0.0,1.0,384.0,3500000.0,1572864.0,2048.0,1.0,29,0,18,0,0,0,3,8,3,0,0,0,0,0
256,2,7,0.07,1.1666666666666667,0.001240410730242729,0.001240410730242729,0.001240410730242729,0.001240410730242729,0.0012035242468118668,0.0004011747390031815,0.0003445830047130585,0.00043980804085731506,0.0024570900052785873,0.000614272490143776,0.00034861740469932555,0.0012464491426944732,0.002403236016631126,0.000801078662276268,7.893234491348267e-06,0.002387222170829773,0.0006882104426622391,0.00022940348088741302,2.323707938194275e-05,0.0003336485624313354,NVIDIA GeForce GTX TITAN Black,3.5,6229696.0,49152.0,65536.0,32.0,1024.0,1024.0,1024.0,64.0,65535.0,65535.0,2147483647.0,980000.0,65536.0,15.0,0.0,1.0,384.0,3500000.0,1572864.0,2048.0,1.0,29,0,18,0,0,0,3,8,3,0,0,0,0,0
256,1,8,0.06,1.0,0.001240410730242729,0.001240410730242729,0.001240410730242729,0.001240410730242729,0.0012035242468118668,0.0004011747390031815,0.0003445830047130585,0.00043980804085731506,0.0024570900052785873,0.000614272490143776,0.00034861740469932555,0.0012464491426944732,0.002403236016631126,0.000801078662276268,7.893234491348267e-06,0.002387222170829773,0.0006882104426622391,0.00022940348088741302,2.323707938194275e-05,0.0003336485624313354,NVIDIA GeForce GTX TITAN Black,3.5,6229696.0,49152.0,65536.0,32.0,1024.0,1024.0,1024.0,64.0,65535.0,65535.0,2147483647.0,980000.0,65536.0,15.0,0.0,1.0,384.0,3500000.0,1572864.0,2048.0,1.0,29,0,18,0,0,0,3,8,3,0,0,0,0,0
256,1,9,0.06,1.0,0.001240410730242729,0.001240410730242729,0.001240410730242729,0.001240410730242729,0.0012035242468118668,0.0004011747390031815,0.0003445830047130585,0.00043980804085731506,0.0024570900052785873,0.000614272490143776,0.00034861740469932555,0.0012464491426944732,0.002403236016631126,0.000801078662276268,7.893234491348267e-06,0.002387222170829773,0.0006882104426622391,0.00022940348088741302,2.323707938194275e-05,0.0003336485624313354,NVIDIA GeForce GTX TITAN Black,3.5,6229696.0,49152.0,65536.0,32.0,1024.0,1024.0,1024.0,64.0,65535.0,65535.0,2147483647.0,980000.0,65536.0,15.0,0.0,1.0,384.0,3500000.0,1572864.0,2048.0,1.0,29,0,18,0,0,0,3,8,3,0,0,0,0,0
256,1,10,0.08,1.3333333333333335,0.001240410730242729,0.001240410730242729,0.001240410730242729,0.001240410730242729,0.0012035242468118668,0.0004011747390031815,0.0003445830047130585,0.00043980804085731506,0.0024570900052785873,0.000614272490143776,0.00034861740469932555,0.0012464491426944732,0.002403236016631126,0.000801078662276268,7.893234491348267e-06,0.002387222170829773,0.0006882104426622391,0.00022940348088741302,2.323707938194275e-05,0.0003336485624313354,NVIDIA GeForce GTX TITAN Black,3.5,6229696.0,49152.0,65536.0,32.0,1024.0,1024.0,1024.0,64.0,65535.0,65535.0,2147483647.0,980000.0,65536.0,15.0,0.0,1.0,384.0,3500000.0,1572864.0,2048.0,1.0,29,0,18,0,0,0,3,8,3,0,0,0,0,0
