Dimensions,Blocks,Threads,Time,Speedup,[CUDA memcpy HtoD] Time,[CUDA memcpy HtoD] Avg,[CUDA memcpy HtoD] Min,[CUDA memcpy HtoD] Max,[CUDA memcpy DtoH] Time,[CUDA memcpy DtoH] Avg,[CUDA memcpy DtoH] Min,[CUDA memcpy DtoH] Max,cudaMalloc Time,cudaMalloc Avg,cudaMalloc Min,cudaMalloc Max,cudaMemcpy Time,cudaMemcpy Avg,cudaMemcpy Min,cudaMemcpy Max,cudaFree Time,cudaFree Avg,cudaFree Min,cudaFree Max,Device Name,Compute Capability,Total Global Memory,Shared Memory per Block,Registers per Block,Warp Size,Maximum Threads per Block,Thread Dimension Z,Thread Dimension Y,Thread Dimension X,Grid Size Z,Grid Size Y,Grid Size X,Clock Rate,Total Constant Memory,Multiprocessor Count,integrated,Asynchronous Engine Count,Memory Bus Width,Memory Clock Rate,L2 Cache Size,Maximum Threads per Multiprocessor,Concurrent Kernels,float,unsigned_int,int,num_blocks,num_grid,threads,cudaMalloc,cudaMemcpy,cudaFree,+,for,-,*,/
10,1,2,0.04,0.3999999999999999,0.001287879,0.0004292929999999,0.000427043,0.000433698,0.00043645,0.00043645,0.00043645,0.00043645,0.179144496,0.059714832,0.00011166,0.17891536,0.0040810279999999,0.0010202569999999,0.0005245549999999,0.0024451,0.0009388729999999,0.000312957,0.000155681,0.000394023,NVIDIA GeForce GTX TITAN Black,3.5,6229696.0,49152.0,65536.0,32.0,1024.0,1024.0,1024.0,64.0,65535.0,65535.0,2147483647.0,980000.0,65536.0,15.0,0.0,1.0,384.0,3500000.0,1572864.0,2048.0,1.0,28,0,26,0,0,10,3,8,3,4,1,0,3,0
10,1,4,0.04,0.3999999999999999,0.001287879,0.0004292929999999,0.000427043,0.000433698,0.00043645,0.00043645,0.00043645,0.00043645,0.179144496,0.059714832,0.00011166,0.17891536,0.0040810279999999,0.0010202569999999,0.0005245549999999,0.0024451,0.0009388729999999,0.000312957,0.000155681,0.000394023,NVIDIA GeForce GTX TITAN Black,3.5,6229696.0,49152.0,65536.0,32.0,1024.0,1024.0,1024.0,64.0,65535.0,65535.0,2147483647.0,980000.0,65536.0,15.0,0.0,1.0,384.0,3500000.0,1572864.0,2048.0,1.0,28,0,26,0,0,10,3,8,3,4,1,0,3,0
10,1,8,0.03,0.3,0.001287879,0.0004292929999999,0.000427043,0.000433698,0.00043645,0.00043645,0.00043645,0.00043645,0.179144496,0.059714832,0.00011166,0.17891536,0.0040810279999999,0.0010202569999999,0.0005245549999999,0.0024451,0.0009388729999999,0.000312957,0.000155681,0.000394023,NVIDIA GeForce GTX TITAN Black,3.5,6229696.0,49152.0,65536.0,32.0,1024.0,1024.0,1024.0,64.0,65535.0,65535.0,2147483647.0,980000.0,65536.0,15.0,0.0,1.0,384.0,3500000.0,1572864.0,2048.0,1.0,28,0,26,0,0,10,3,8,3,4,1,0,3,0
10,1,16,0.03,0.3,0.001287879,0.0004292929999999,0.000427043,0.000433698,0.00043645,0.00043645,0.00043645,0.00043645,0.179144496,0.059714832,0.00011166,0.17891536,0.0040810279999999,0.0010202569999999,0.0005245549999999,0.0024451,0.0009388729999999,0.000312957,0.000155681,0.000394023,NVIDIA GeForce GTX TITAN Black,3.5,6229696.0,49152.0,65536.0,32.0,1024.0,1024.0,1024.0,64.0,65535.0,65535.0,2147483647.0,980000.0,65536.0,15.0,0.0,1.0,384.0,3500000.0,1572864.0,2048.0,1.0,28,0,26,0,0,10,3,8,3,4,1,0,3,0
10,1,32,0.06,0.6,0.001287879,0.0004292929999999,0.000427043,0.000433698,0.00043645,0.00043645,0.00043645,0.00043645,0.179144496,0.059714832,0.00011166,0.17891536,0.0040810279999999,0.0010202569999999,0.0005245549999999,0.0024451,0.0009388729999999,0.000312957,0.000155681,0.000394023,NVIDIA GeForce GTX TITAN Black,3.5,6229696.0,49152.0,65536.0,32.0,1024.0,1024.0,1024.0,64.0,65535.0,65535.0,2147483647.0,980000.0,65536.0,15.0,0.0,1.0,384.0,3500000.0,1572864.0,2048.0,1.0,28,0,26,0,0,10,3,8,3,4,1,0,3,0
10,1,64,0.04,0.3999999999999999,0.001287879,0.0004292929999999,0.000427043,0.000433698,0.00043645,0.00043645,0.00043645,0.00043645,0.179144496,0.059714832,0.00011166,0.17891536,0.0040810279999999,0.0010202569999999,0.0005245549999999,0.0024451,0.0009388729999999,0.000312957,0.000155681,0.000394023,NVIDIA GeForce GTX TITAN Black,3.5,6229696.0,49152.0,65536.0,32.0,1024.0,1024.0,1024.0,64.0,65535.0,65535.0,2147483647.0,980000.0,65536.0,15.0,0.0,1.0,384.0,3500000.0,1572864.0,2048.0,1.0,28,0,26,0,0,10,3,8,3,4,1,0,3,0
10,1,128,0.04,0.3999999999999999,0.001287879,0.0004292929999999,0.000427043,0.000433698,0.00043645,0.00043645,0.00043645,0.00043645,0.179144496,0.059714832,0.00011166,0.17891536,0.0040810279999999,0.0010202569999999,0.0005245549999999,0.0024451,0.0009388729999999,0.000312957,0.000155681,0.000394023,NVIDIA GeForce GTX TITAN Black,3.5,6229696.0,49152.0,65536.0,32.0,1024.0,1024.0,1024.0,64.0,65535.0,65535.0,2147483647.0,980000.0,65536.0,15.0,0.0,1.0,384.0,3500000.0,1572864.0,2048.0,1.0,28,0,26,0,0,10,3,8,3,4,1,0,3,0
10,1,256,0.04,0.3999999999999999,0.001287879,0.0004292929999999,0.000427043,0.000433698,0.00043645,0.00043645,0.00043645,0.00043645,0.179144496,0.059714832,0.00011166,0.17891536,0.0040810279999999,0.0010202569999999,0.0005245549999999,0.0024451,0.0009388729999999,0.000312957,0.000155681,0.000394023,NVIDIA GeForce GTX TITAN Black,3.5,6229696.0,49152.0,65536.0,32.0,1024.0,1024.0,1024.0,64.0,65535.0,65535.0,2147483647.0,980000.0,65536.0,15.0,0.0,1.0,384.0,3500000.0,1572864.0,2048.0,1.0,28,0,26,0,0,10,3,8,3,4,1,0,3,0
10,1,512,0.04,0.3999999999999999,0.001287879,0.0004292929999999,0.000427043,0.000433698,0.00043645,0.00043645,0.00043645,0.00043645,0.179144496,0.059714832,0.00011166,0.17891536,0.0040810279999999,0.0010202569999999,0.0005245549999999,0.0024451,0.0009388729999999,0.000312957,0.000155681,0.000394023,NVIDIA GeForce GTX TITAN Black,3.5,6229696.0,49152.0,65536.0,32.0,1024.0,1024.0,1024.0,64.0,65535.0,65535.0,2147483647.0,980000.0,65536.0,15.0,0.0,1.0,384.0,3500000.0,1572864.0,2048.0,1.0,28,0,26,0,0,10,3,8,3,4,1,0,3,0
10,1,1024,0.06,0.6,0.001287879,0.0004292929999999,0.000427043,0.000433698,0.00043645,0.00043645,0.00043645,0.00043645,0.179144496,0.059714832,0.00011166,0.17891536,0.0040810279999999,0.0010202569999999,0.0005245549999999,0.0024451,0.0009388729999999,0.000312957,0.000155681,0.000394023,NVIDIA GeForce GTX TITAN Black,3.5,6229696.0,49152.0,65536.0,32.0,1024.0,1024.0,1024.0,64.0,65535.0,65535.0,2147483647.0,980000.0,65536.0,15.0,0.0,1.0,384.0,3500000.0,1572864.0,2048.0,1.0,28,0,26,0,0,10,3,8,3,4,1,0,3,0
